name	ratings	date	helpful	comment	comment_len
김민지	5	2020-02-05	4	다좋아요!간편하구ㅎㅎ혹시 카카오톡 선물받은거도 쓸수있게 연동해주실생각은없는지요!!기프티콘이요!	52
sunny moon	5	2019-04-19	0	쿠폰좋아요!^^ 다만 아직 입점 안되어 있는 곳들이 많아서 아쉬워요ㅠ 교촌치킨은 안들어오나요?ㅜ	53
Google 사용자	5	2018-10-25	0	출출할때 항상 찾는 배달웹입니다.편해서 좋습니다.	27
안졸리나몰라H	5	2019-09-30	0	깔고나서 배달이 쉬워지니 엄청 시켜먹게되는 단점이있네요	30
김중식	5	2019-10-26	0	주문편하고배달시간알려주니좋네요	16
Google 사용자	5	2018-10-02	0	동네 맛집을 쉽게 볼수있어 좋아요 근데 바로결제는 좀 번거로운듯ㅎ	36
Google 사용자	5	2019-03-28	0	편하게 찾아서 주문하고 결제바로 가눙해서 바로 물건받고 편해서 좋아요~	39
Tony Kim	5	2019-07-06	0	아주 편리합니다. 처음 이용해보고 마음에 들어서 계속 이용하려고요.	37
Google 사용자	5	2018-10-19	0	생각보다 괜찮네요. 진작알았음 더좋았다는..	24
김영민	5	2019-05-04	0	배고플때편리한앱 왜이제알았지ㅠ	16
박혜숙	5	2019-09-09	0	전화하지 않고 배달해서 먹는게 좋아요	20
배현수	5	2019-10-20	0	좋은 맞집이 너무많아 좋아요~	16
이재명	5	2019-05-25	0	한눈에 매뉴얼을볼수있고 얼마나 걸리는지도알수있어 좋아요	30
하루	5	2019-08-26	0	가맹점도 많고 업소에 관한 정보도 자세해서 편리한 앱입니다.	33
김지은	5	2019-07-18	0	맛있는 음식점에 직접 가지 않고 집에서 배달해서 먹을 수 있어서 넘 편리해요~!	44
김나예	5	2019-09-08	0	다양한 종류 음식을 한눈에 볼 수있고 앱에서 결제까지되니 편해요~	36
Google 사용자	5	2019-01-08	0	단짠단짠 겉은 바삭 속은 부드럽고 담백하고 넘나 맛있어요??	33
최문영	5	2018-12-25	0	배달의민족 처음이용자인데 적당히 배달음식먹고 배좀두들기려는찰라!! 후기남기라는 메세지뜨네요ㅋㅋ 어플훌륭해요. 사장님들 힘내세요!!!	73
손혜경	5	2021-04-18	0	딴데비해나름만족 ㅎㅎ	11
Heon Kim	5	2018-09-26	0	발전에 발전을 거듭하는 배민. 보기좋습니다! 지켜보고있습니다!!ㅎㅎㅎㅎ	39
김일권	5	2019-05-15	1	갑자기 출출하거나 늦은저녁이나 술안주또한 다해결할수 있는 어플이라 강추한다 '	43
똑게맘	5	2019-10-23	0	쿠폰 이벤트가 많고 메뉴, 사진 보기 좋게 꾸며져 있어 좋아요	34
최세정	5	2019-05-28	0	맛집도 많고.대박입니다	12
이준호	5	2019-04-07	0	다른앱보다 메뉴도 많고 주문 결제가 편리해서 좋아요	28
최영남	5	2019-04-26	0	쿠폰 덕분에 모처럼 치킨 잘 먹었구요.다른 유사앱이랑 다른 부분은 없는 듯....	45
Jay B. Kim	5	2019-05-18	0	서비스는 좀더 이용해봐야겠지만 앱은 군더더기 없고 사용하기 쉽게 잘 만들어져있네요	45
Google 사용자	5	2019-02-10	0	굿짱인듯요배달빠르고요	11
블링블링	5	2018-09-22	0	할인쿠폰이 많았으면 더좋을거같아용ㅋ사용하기도 편하고 좋아요	32
신지영	5	2019-09-21	0	처음 이용해봤는데 다양한 종류가 있어좋네요 앞으로가 쭉기대됩니다 ㅎ	37
달달tv	5	2019-06-15	0	정말 맛있어요 인생 탕수육 입니다~~^^ 양도 쵝오예요	30
Google 사용자	5	2018-10-06	0	오늘처음 아들추천으로 사용해봤네요~ 편하고 좋아요~~^^	31
이종훈	5	2019-12-08	0	아주 유용한정보들과 쿠폰까지 굿~~입니다.	23
Dae Sung Ham	5	2018-12-09	0	손쉬운 배달주문앱 배민!최고!	16
초코파이	5	2019-03-06	0	주문결재가 한번에 간단해서 좋네요 배달도 빠르구요^^	29
쩡이	5	2019-11-29	0	역시 최고 배달어플인것같아요 잘이용하고있어요 적극추천	29
빈가현기훈맘	5	2019-06-01	0	쿠폰이벤트소개받아 가입하고 주문했는데, 친절하고 빠르고 좋네요	34
지호김	5	2019-08-03	0	쉽고 편하게 귀찮게 전화할 필요가 없어서 편했어요	27
용이	5	2019-01-08	0	리뷰쓴사람이 무슨음식을 시켰는지 보이게 만들어줄 수 있나요? 만약에 A라는 사람이 간장치킨+파닭후라이드치킨 시키고 리뷰를 쓸때 닉네임이나 별밑에 간장치킨+파닭후라이드치킨 이렇게 표시되면 좋겠네요	108
흔한남매에 빠져있는 귀여운 채원이	5	2020-03-25	2	잘쓰고 있어요^^ 헌대 얼마전부터 사진을 올리려하면 앱권한이 없다고 설정변경하라는데, 이미 설정에서 카메라는 체크가 되어있거든요??	73
?하늘마법사?	5	2019-06-15	0	시골동네라 과연 신속하게 깨끗이 올까 거정했는데.. 와우! 구우웃!^^b	40
달래꽃	5	2019-05-02	0	주문후 배달시간이 빠른것 같아요. 더이용해보고 후속후기 올릴게요.	36
김아른	5	2019-06-01	0	배민에만 있는 음식점있어서 잘쓰는중	19
성희섭	5	2021-04-16	0	빠르고 편리해서 좋아요	12
Crazy Sun	5	2019-03-05	0	자주 엄청 시켜먹음...가격대가 전단지랑 다른경우가 허다함	32
최지웅	5	2019-06-20	0	이벤트 많이해서 너무 좋아요. 전화주문이 아니라 핸드폰으로 해서 더 편하고	41
빗초이	5	2018-12-08	0	앱이 깔끔하고 주문하기 편하게 되어 있네요!!	25
서윤	5	2020-08-15	0	그냥 메뉴가 많아서 괜찮은거 같은데 배달팁은 좀 그러네요.	32
나채구	5	2019-07-05	0	좋아요 할인도 되고..	12
전주현	5	2021-01-25	0	배달 친절해서 잘이용합니다	14
Ggv Drr	5	2019-11-04	0	야간에 출출할 때 고르는 재미도있고 배달도 빠르군요~	29
박소영	5	2019-08-20	0	너무 만족합니다~~^^ 이벤트할땐 유의해야 한다는거 말고는 편하게 이용하겠어요 ㅎㅎ 배달해주셔서 고맙습니다!	60
여해피	5	2019-02-11	0	쿠폰도 있고, 직접 가서 사는 것보다 배송도 빨라 좋음	30
?? gg	5	2020-01-26	0	검색설정에 가까운 순 주문 많은 순 처럼 배달팁 없는 순도 추가 해주세요	40
Google 사용자	5	2019-03-11	0	따듯하고 바삭하니 완전 맛있네요 다음에 또 이용할께요	29
Google 사용자	5	2018-12-17	0	이번이 처음 앞으로 많이 이용할듯 하네요	22
김영식	5	2019-02-11	0	내가 선택할수 있는 맛집이 다른어플보다 많아서 좋아요	29
뚜비뚭뚜바	5	2020-03-03	0	정말 잘 사용하고 있습니다 그런데 어플이 노트북에는 설치가 안 되네요 혹시 다른 방법이 있을까요?	54
김효진	5	2019-11-01	0	항상 잘쓰고있어용ㅋㅋㅋ	12
양종하	5	2019-01-21	0	요기요보다 식당이 많은듯	13
콩두부맘	5	2019-06-05	0	맛집칸이따로있어보기편하고 배달시간표시이있어서좋네요	27
William Jeon	5	2019-01-11	0	아주 좋아요 편리하고 다양하고 많으프로모션 앞으로도 기대할께요	34
유원상	5	2019-04-29	0	처음 시켜먹었는데 배달도 시간내에 오고 잘먹었네요	27
이은영	5	2019-05-06	0	편리합니다 홧팅 지나가다 광고보고 많이웃습니다 홧팅	28
이광	5	2019-05-21	0	맛좋아요 조금 아쉬운 점이라면 너무 구워서 곁살이 조금 아쉽네요 그래도 맛은 굿	44
강상훈	5	2020-01-06	0	항상쓰는데 너무좋아요 ㅎㅎ	14
이시윤	5	2019-08-15	0	배민덕에 예전보다 아주 약간이라도 싸게 먹는듯 쿠폰을 많이 뿌려서 ㅋㅋ	39
김범성	5	2019-06-01	0	아 괜히 업계 1위 앱이 아니군요 이용하기 편하고 다양해서 좋았습니다 이벤트도 훌륭하구요	49
1찐	5	2019-08-09	0	배달도 빠르고 배달오신분도 친절하고 음식도 맛있어용 ^^♡	32
김정아	5	2019-07-31	0	빠른 위치 검색이 좋습니다	14
_ Won	5	2019-01-18	0	너무 좋아용 첫구매쿠폰으로 싸게 먹었어요! 톡 알림으로 몇분 안에 온다고 알려주는 것도 좋아요	52
조기석	5	2019-07-10	0	배달앱이 이전과는 틀려요 엄청 발전했네요 잘쓰고 있어요	30
맥더블	5	2018-12-13	0	간편하게 잘꾸며놓음	10
Google 사용자	5	2019-01-29	5	문자인증이 잘되지않아요... 그래서VIP카드를못만들었어요.. 이건 왜이런거죠?	43
eundan jo	5	2019-11-18	0	다좋은데 전체보기가있음좋겠어요	16
김태현	5	2019-08-16	0	배달음식 시켜 먹을 때 이벤트 및 할인 쿠폰을 활용하니 참 좋네요~^^	39
손꾸락	5	2019-02-24	0	진짜 저기여~~보다 훨 나아요 오늘 한번 사용할려다가 결국 못해서 여기로 시켰네요! 피자에땅 3000원 쿠폰 잘썼어요! 1등하는 이유가 있네요! 배민 화이팅!	88
김지회	5	2019-07-22	0	첨이지만..굿!!일단 더 사용해보고 리뷰 굿하게 남길께굿????	35
로코코	5	2019-01-20	0	배달앱이 이렇 다양한 먹거리가 있는줄 몰랐내요 신세계를 맛본기분이내요 자주 이용할것 같은 불길함이 ㅋㅋ	57
